elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.092,edge3-edge3-api-1,0.01,299.6MiB,2.5GiB,11.70
0.181,edge3-edge3-minio-1,0.00,222.4MiB,2GiB,10.86
0.280,edge3-edge3-mysql-1,0.01,378.3MiB,1GiB,36.95
0.367,edge2-edge2-api-1,0.01,366.4MiB,2.5GiB,14.31
0.462,edge2-edge2-mysql-1,0.01,378.4MiB,1GiB,36.95
0.553,edge2-edge2-minio-1,0.00,218.4MiB,2GiB,10.66
0.641,edge1-edge1-api-1,0.01,372.2MiB,2.5GiB,14.54
0.734,edge1-edge1-mysql-1,0.02,368MiB,1GiB,35.94
0.838,edge1-edge1-minio-1,0.00,221.1MiB,2GiB,10.80
0.926,cloud_api_poc1,0.01,55.35MiB,2GiB,2.70
1.014,cloud_mysql_poc1,0.02,367.8MiB,512MiB,71.84
1.104,cloud_minio_poc1,3.93,223.8MiB,1GiB,21.85
1.195,edge3-edge3-api-1,0.01,299.6MiB,2.5GiB,11.70 
1.294,edge3-edge3-minio-1,0.00,222.4MiB,2GiB,10.86 
1.396,edge3-edge3-mysql-1,0.01,378.3MiB,1GiB,36.95 
1.491,edge2-edge2-api-1,0.01,366.4MiB,2.5GiB,14.31 
1.582,edge2-edge2-mysql-1,0.01,378.4MiB,1GiB,36.95 
1.674,edge2-edge2-minio-1,0.00,218.4MiB,2GiB,10.66 
1.783,edge1-edge1-api-1,0.01,372.2MiB,2.5GiB,14.54 
1.872,edge1-edge1-mysql-1,0.02,368MiB,1GiB,35.94 
1.968,edge1-edge1-minio-1,0.00,221.1MiB,2GiB,10.80 
2.057,cloud_api_poc1,0.01,55.35MiB,2GiB,2.70 
2.157,cloud_mysql_poc1,0.02,367.8MiB,512MiB,71.84 
2.249,cloud_minio_poc1,3.93,223.8MiB,1GiB,21.85 
2.341, ,,,,
2.445,edge3-edge3-api-1,0.01,299.6MiB,2.5GiB,11.70
2.537,edge3-edge3-minio-1,0.00,222.4MiB,2GiB,10.86
2.626,edge3-edge3-mysql-1,0.01,378.3MiB,1GiB,36.95
2.716,edge2-edge2-api-1,0.01,366.4MiB,2.5GiB,14.31
2.819,edge2-edge2-mysql-1,0.01,378.4MiB,1GiB,36.95
2.934,edge2-edge2-minio-1,0.00,218.4MiB,2GiB,10.66
3.024,edge1-edge1-api-1,0.01,372.2MiB,2.5GiB,14.54
3.110,edge1-edge1-mysql-1,0.02,368MiB,1GiB,35.94
3.203,edge1-edge1-minio-1,0.00,221.1MiB,2GiB,10.80
3.298,cloud_api_poc1,0.01,55.35MiB,2GiB,2.70
3.402,cloud_mysql_poc1,0.02,367.8MiB,512MiB,71.84
3.501,cloud_minio_poc1,3.93,223.8MiB,1GiB,21.85
3.593,edge3-edge3-api-1,0.01,299.6MiB,2.5GiB,11.70 
3.680,edge3-edge3-minio-1,0.00,222.4MiB,2GiB,10.86 
3.766,edge3-edge3-mysql-1,0.01,378.3MiB,1GiB,36.95 
3.859,edge2-edge2-api-1,0.01,366.4MiB,2.5GiB,14.31 
3.957,edge2-edge2-mysql-1,0.01,378.4MiB,1GiB,36.95 
4.043,edge2-edge2-minio-1,0.00,218.4MiB,2GiB,10.66 
4.138,edge1-edge1-api-1,0.01,372.2MiB,2.5GiB,14.54 
4.233,edge1-edge1-mysql-1,0.02,368MiB,1GiB,35.94 
4.358,edge1-edge1-minio-1,0.00,221.1MiB,2GiB,10.80 
4.457,cloud_api_poc1,0.01,55.35MiB,2GiB,2.70 
4.559,cloud_mysql_poc1,0.02,367.8MiB,512MiB,71.84 
4.693,cloud_minio_poc1,3.93,223.8MiB,1GiB,21.85 
4.793, ,,,,
4.882,edge3-edge3-api-1,11.41,300.9MiB,2.5GiB,11.75
4.980,edge3-edge3-minio-1,1.25,230.2MiB,2GiB,11.24
5.098,edge3-edge3-mysql-1,1.28,378.4MiB,1GiB,36.95
5.207,edge2-edge2-api-1,10.37,367.4MiB,2.5GiB,14.35
5.330,edge2-edge2-mysql-1,0.37,378.4MiB,1GiB,36.95
5.425,edge2-edge2-minio-1,0.86,224.5MiB,2GiB,10.96
5.520,edge1-edge1-api-1,9.87,373MiB,2.5GiB,14.57
5.611,edge1-edge1-mysql-1,0.37,368MiB,1GiB,35.94
5.732,edge1-edge1-minio-1,0.81,225.3MiB,2GiB,11.00
5.821,cloud_api_poc1,8.97,55.64MiB,2GiB,2.72
5.905,cloud_mysql_poc1,1.07,367.8MiB,512MiB,71.84
6.003,cloud_minio_poc1,1.04,228.2MiB,1GiB,22.29
6.136,edge3-edge3-api-1,11.41,300.9MiB,2.5GiB,11.75 
6.244,edge3-edge3-minio-1,1.25,230.2MiB,2GiB,11.24 
6.339,edge3-edge3-mysql-1,1.28,378.4MiB,1GiB,36.95 
6.431,edge2-edge2-api-1,10.37,367.4MiB,2.5GiB,14.35 
6.525,edge2-edge2-mysql-1,0.37,378.4MiB,1GiB,36.95 
6.614,edge2-edge2-minio-1,0.86,224.5MiB,2GiB,10.96 
6.717,edge1-edge1-api-1,9.87,373MiB,2.5GiB,14.57 
6.802,edge1-edge1-mysql-1,0.37,368MiB,1GiB,35.94 
6.903,edge1-edge1-minio-1,0.81,225.3MiB,2GiB,11.00 
6.992,cloud_api_poc1,8.97,55.64MiB,2GiB,2.72 
7.074,cloud_mysql_poc1,1.07,367.8MiB,512MiB,71.84 
7.164,cloud_minio_poc1,1.04,228.2MiB,1GiB,22.29 
7.262, ,,,,
7.355,edge3-edge3-api-1,11.41,300.9MiB,2.5GiB,11.75
7.439,edge3-edge3-minio-1,1.25,230.2MiB,2GiB,11.24
7.527,edge3-edge3-mysql-1,1.28,378.4MiB,1GiB,36.95
7.617,edge2-edge2-api-1,10.37,367.4MiB,2.5GiB,14.35
7.710,edge2-edge2-mysql-1,0.37,378.4MiB,1GiB,36.95
7.812,edge2-edge2-minio-1,0.86,224.5MiB,2GiB,10.96
7.903,edge1-edge1-api-1,9.87,373MiB,2.5GiB,14.57
7.995,edge1-edge1-mysql-1,0.37,368MiB,1GiB,35.94
8.086,edge1-edge1-minio-1,0.81,225.3MiB,2GiB,11.00
8.170,cloud_api_poc1,8.97,55.64MiB,2GiB,2.72
8.266,cloud_mysql_poc1,1.07,367.8MiB,512MiB,71.84
8.366,cloud_minio_poc1,1.04,228.2MiB,1GiB,22.29
8.452,edge3-edge3-api-1,11.41,300.9MiB,2.5GiB,11.75 
8.542,edge3-edge3-minio-1,1.25,230.2MiB,2GiB,11.24 
8.625,edge3-edge3-mysql-1,1.28,378.4MiB,1GiB,36.95 
8.718,edge2-edge2-api-1,10.37,367.4MiB,2.5GiB,14.35 
8.815,edge2-edge2-mysql-1,0.37,378.4MiB,1GiB,36.95 
8.921,edge2-edge2-minio-1,0.86,224.5MiB,2GiB,10.96 
9.013,edge1-edge1-api-1,9.87,373MiB,2.5GiB,14.57 
9.099,edge1-edge1-mysql-1,0.37,368MiB,1GiB,35.94 
9.188,edge1-edge1-minio-1,0.81,225.3MiB,2GiB,11.00 
9.277,cloud_api_poc1,8.97,55.64MiB,2GiB,2.72 
9.370,cloud_mysql_poc1,1.07,367.8MiB,512MiB,71.84 
9.469,cloud_minio_poc1,1.04,228.2MiB,1GiB,22.29 
9.560, ,,,,
9.661,edge3-edge3-api-1,12.91,303MiB,2.5GiB,11.84
9.761,edge3-edge3-minio-1,1.02,233.9MiB,2GiB,11.42
9.853,edge3-edge3-mysql-1,0.34,378.3MiB,1GiB,36.95
9.961,edge2-edge2-api-1,10.22,368.6MiB,2.5GiB,14.40
10.048,edge2-edge2-mysql-1,0.33,378.4MiB,1GiB,36.95
10.142,edge2-edge2-minio-1,1.06,232.6MiB,2GiB,11.36
10.231,edge1-edge1-api-1,11.29,375.4MiB,2.5GiB,14.66
10.323,edge1-edge1-mysql-1,1.28,368MiB,1GiB,35.94
10.418,edge1-edge1-minio-1,1.13,230.8MiB,2GiB,11.27
10.521,cloud_api_poc1,6.95,56.77MiB,2GiB,2.77
10.606,cloud_mysql_poc1,0.34,367.8MiB,512MiB,71.84
10.693,cloud_minio_poc1,0.63,232.3MiB,1GiB,22.69
10.781,edge3-edge3-api-1,12.91,303MiB,2.5GiB,11.84 
10.873,edge3-edge3-minio-1,1.02,233.9MiB,2GiB,11.42 
10.971,edge3-edge3-mysql-1,0.34,378.3MiB,1GiB,36.95 
11.056,edge2-edge2-api-1,10.22,368.6MiB,2.5GiB,14.40 
11.142,edge2-edge2-mysql-1,0.33,378.4MiB,1GiB,36.95 
11.227,edge2-edge2-minio-1,1.06,232.6MiB,2GiB,11.36 
11.320,edge1-edge1-api-1,11.29,375.4MiB,2.5GiB,14.66 
11.427,edge1-edge1-mysql-1,1.28,368MiB,1GiB,35.94 
11.517,edge1-edge1-minio-1,1.13,230.8MiB,2GiB,11.27 
11.614,cloud_api_poc1,6.95,56.77MiB,2GiB,2.77 
11.698,cloud_mysql_poc1,0.34,367.8MiB,512MiB,71.84 
11.788,cloud_minio_poc1,0.63,232.3MiB,1GiB,22.69 
11.883, ,,,,
11.983,edge3-edge3-api-1,12.91,303MiB,2.5GiB,11.84
12.068,edge3-edge3-minio-1,1.02,233.9MiB,2GiB,11.42
12.158,edge3-edge3-mysql-1,0.34,378.3MiB,1GiB,36.95
12.256,edge2-edge2-api-1,10.22,368.6MiB,2.5GiB,14.40
12.349,edge2-edge2-mysql-1,0.33,378.4MiB,1GiB,36.95
12.433,edge2-edge2-minio-1,1.06,232.6MiB,2GiB,11.36
12.542,edge1-edge1-api-1,11.29,375.4MiB,2.5GiB,14.66
12.632,edge1-edge1-mysql-1,1.28,368MiB,1GiB,35.94
12.723,edge1-edge1-minio-1,1.13,230.8MiB,2GiB,11.27
12.815,cloud_api_poc1,6.95,56.77MiB,2GiB,2.77
12.915,cloud_mysql_poc1,0.34,367.8MiB,512MiB,71.84
13.007,cloud_minio_poc1,0.63,232.3MiB,1GiB,22.69
13.102,edge3-edge3-api-1,12.91,303MiB,2.5GiB,11.84 
13.195,edge3-edge3-minio-1,1.02,233.9MiB,2GiB,11.42 
13.283,edge3-edge3-mysql-1,0.34,378.3MiB,1GiB,36.95 
13.391,edge2-edge2-api-1,10.22,368.6MiB,2.5GiB,14.40 
13.495,edge2-edge2-mysql-1,0.33,378.4MiB,1GiB,36.95 
13.601,edge2-edge2-minio-1,1.06,232.6MiB,2GiB,11.36 
13.690,edge1-edge1-api-1,11.29,375.4MiB,2.5GiB,14.66 
13.778,edge1-edge1-mysql-1,1.28,368MiB,1GiB,35.94 
13.868,edge1-edge1-minio-1,1.13,230.8MiB,2GiB,11.27 
13.956,cloud_api_poc1,6.95,56.77MiB,2GiB,2.77 
14.091,cloud_mysql_poc1,0.34,367.8MiB,512MiB,71.84 
14.213,cloud_minio_poc1,0.63,232.3MiB,1GiB,22.69 
14.328, ,,,,
14.416,edge3-edge3-api-1,16.63,305.4MiB,2.5GiB,11.93
14.505,edge3-edge3-minio-1,1.18,239.9MiB,2GiB,11.71
14.595,edge3-edge3-mysql-1,0.33,378.3MiB,1GiB,36.95
14.705,edge2-edge2-api-1,6.47,369.1MiB,2.5GiB,14.42
