elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
10.933,cloud_minio_poc1,2.72,234.7MiB,1GiB,22.92
11.045,edge3-edge3-api-1,43.54,302.4MiB,2.5GiB,11.81 
11.152,edge3-edge3-mysql-1,0.44,376.3MiB,1GiB,36.75 
11.272,edge3-edge3-minio-1,3.45,235.3MiB,2GiB,11.49 
11.384,edge2-edge2-api-1,36.27,310.8MiB,2.5GiB,12.14 
11.510,edge2-edge2-minio-1,3.35,232MiB,2GiB,11.33 
11.628,edge2-edge2-mysql-1,0.45,376.4MiB,1GiB,36.75 
11.745,edge1-edge1-api-1,35.45,358.1MiB,2.5GiB,13.99 
11.862,edge1-edge1-mysql-1,1.48,376.3MiB,1GiB,36.75 
11.966,edge1-edge1-minio-1,3.35,233.7MiB,2GiB,11.41 
12.085,cloud_api_poc1,20.82,59.76MiB,2GiB,2.92 
12.205,cloud_mysql_poc1,0.44,367.8MiB,512MiB,71.84 
12.324,cloud_minio_poc1,2.72,234.7MiB,1GiB,22.92 
12.440, ,,,,
12.547,edge3-edge3-api-1,111.82,320.6MiB,2.5GiB,12.52
12.657,edge3-edge3-mysql-1,0.48,376.3MiB,1GiB,36.75
12.767,edge3-edge3-minio-1,10.96,286.6MiB,2GiB,13.99
12.878,edge2-edge2-api-1,98.96,317.1MiB,2.5GiB,12.39
12.982,edge2-edge2-minio-1,8.45,262.3MiB,2GiB,12.81
13.089,edge2-edge2-mysql-1,0.36,376.4MiB,1GiB,36.75
13.210,edge1-edge1-api-1,108.36,368.9MiB,2.5GiB,14.41
13.326,edge1-edge1-mysql-1,0.48,376.3MiB,1GiB,36.75
13.447,edge1-edge1-minio-1,14.00,274.2MiB,2GiB,13.39
13.566,cloud_api_poc1,50.31,65.93MiB,2GiB,3.22
13.690,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84
13.801,cloud_minio_poc1,9.33,259.9MiB,1GiB,25.38
13.917,edge3-edge3-api-1,111.82,320.6MiB,2.5GiB,12.52 
14.038,edge3-edge3-mysql-1,0.48,376.3MiB,1GiB,36.75 
14.155,edge3-edge3-minio-1,10.96,286.6MiB,2GiB,13.99 
14.260,edge2-edge2-api-1,98.96,317.1MiB,2.5GiB,12.39 
14.380,edge2-edge2-minio-1,8.45,262.3MiB,2GiB,12.81 
14.503,edge2-edge2-mysql-1,0.36,376.4MiB,1GiB,36.75 
14.628,edge1-edge1-api-1,108.36,368.9MiB,2.5GiB,14.41 
14.742,edge1-edge1-mysql-1,0.48,376.3MiB,1GiB,36.75 
14.877,edge1-edge1-minio-1,14.00,274.2MiB,2GiB,13.39 
14.995,cloud_api_poc1,50.31,65.93MiB,2GiB,3.22 
15.118,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84 
15.232,cloud_minio_poc1,9.33,259.9MiB,1GiB,25.38 
15.344, ,,,,
15.448,edge3-edge3-api-1,111.82,320.6MiB,2.5GiB,12.52
15.554,edge3-edge3-mysql-1,0.48,376.3MiB,1GiB,36.75
15.673,edge3-edge3-minio-1,10.96,286.6MiB,2GiB,13.99
15.793,edge2-edge2-api-1,98.96,317.1MiB,2.5GiB,12.39
15.915,edge2-edge2-minio-1,8.45,262.3MiB,2GiB,12.81
16.027,edge2-edge2-mysql-1,0.36,376.4MiB,1GiB,36.75
16.145,edge1-edge1-api-1,108.36,368.9MiB,2.5GiB,14.41
16.256,edge1-edge1-mysql-1,0.48,376.3MiB,1GiB,36.75
16.379,edge1-edge1-minio-1,14.00,274.2MiB,2GiB,13.39
16.491,cloud_api_poc1,50.31,65.93MiB,2GiB,3.22
16.603,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84
16.737,cloud_minio_poc1,9.33,259.9MiB,1GiB,25.38
16.876,edge3-edge3-api-1,111.82,320.6MiB,2.5GiB,12.52 
16.990,edge3-edge3-mysql-1,0.48,376.3MiB,1GiB,36.75 
17.160,edge3-edge3-minio-1,10.96,286.6MiB,2GiB,13.99 
17.299,edge2-edge2-api-1,98.96,317.1MiB,2.5GiB,12.39 
17.421,edge2-edge2-minio-1,8.45,262.3MiB,2GiB,12.81 
17.552,edge2-edge2-mysql-1,0.36,376.4MiB,1GiB,36.75 
17.684,edge1-edge1-api-1,108.36,368.9MiB,2.5GiB,14.41 
17.824,edge1-edge1-mysql-1,0.48,376.3MiB,1GiB,36.75 
17.982,edge1-edge1-minio-1,14.00,274.2MiB,2GiB,13.39 
18.121,cloud_api_poc1,50.31,65.93MiB,2GiB,3.22 
18.249,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84 
18.561,cloud_minio_poc1,9.33,259.9MiB,1GiB,25.38 
18.699, ,,,,
18.847,edge3-edge3-api-1,109.53,340.1MiB,2.5GiB,13.28
18.984,edge3-edge3-mysql-1,0.40,376.3MiB,1GiB,36.75
19.097,edge3-edge3-minio-1,9.41,323.1MiB,2GiB,15.78
19.252,edge2-edge2-api-1,81.97,321.2MiB,2.5GiB,12.55
19.412,edge2-edge2-minio-1,6.69,291.1MiB,2GiB,14.21
19.546,edge2-edge2-mysql-1,1.39,376.4MiB,1GiB,36.75
19.706,edge1-edge1-api-1,88.01,369.1MiB,2.5GiB,14.42
19.836,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75
20.013,edge1-edge1-minio-1,9.73,302.7MiB,2GiB,14.78
20.135,cloud_api_poc1,53.65,69.31MiB,2GiB,3.38
20.283,cloud_mysql_poc1,0.40,367.8MiB,512MiB,71.84
20.442,cloud_minio_poc1,6.25,281.9MiB,1GiB,27.53
20.599,edge3-edge3-api-1,109.53,340.1MiB,2.5GiB,13.28 
20.730,edge3-edge3-mysql-1,0.40,376.3MiB,1GiB,36.75 
20.934,edge3-edge3-minio-1,9.41,323.1MiB,2GiB,15.78 
21.048,edge2-edge2-api-1,81.97,321.2MiB,2.5GiB,12.55 
21.184,edge2-edge2-minio-1,6.69,291.1MiB,2GiB,14.21 
21.326,edge2-edge2-mysql-1,1.39,376.4MiB,1GiB,36.75 
21.459,edge1-edge1-api-1,88.01,369.1MiB,2.5GiB,14.42 
21.575,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75 
21.698,edge1-edge1-minio-1,9.73,302.7MiB,2GiB,14.78 
21.831,cloud_api_poc1,53.65,69.31MiB,2GiB,3.38 
21.958,cloud_mysql_poc1,0.40,367.8MiB,512MiB,71.84 
22.131,cloud_minio_poc1,6.25,281.9MiB,1GiB,27.53 
22.276, ,,,,
22.404,edge3-edge3-api-1,109.53,340.1MiB,2.5GiB,13.28
22.520,edge3-edge3-mysql-1,0.40,376.3MiB,1GiB,36.75
22.641,edge3-edge3-minio-1,9.41,323.1MiB,2GiB,15.78
22.788,edge2-edge2-api-1,81.97,321.2MiB,2.5GiB,12.55
22.921,edge2-edge2-minio-1,6.69,291.1MiB,2GiB,14.21
23.072,edge2-edge2-mysql-1,1.39,376.4MiB,1GiB,36.75
23.191,edge1-edge1-api-1,88.01,369.1MiB,2.5GiB,14.42
