elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.062,edge3-edge3-api-1,0.15,288.3MiB,2.5GiB,11.26
0.127,edge3-edge3-mysql-1,0.22,376.6MiB,1GiB,36.78
0.191,edge3-edge3-minio-1,0.01,218.7MiB,2GiB,10.68
0.257,edge2-edge2-api-1,0.19,318.5MiB,2.5GiB,12.44
0.322,edge2-edge2-mysql-1,0.22,378.4MiB,1GiB,36.95
0.386,edge2-edge2-minio-1,0.04,254.5MiB,2GiB,12.43
0.455,edge1-edge1-api-1,0.19,286.4MiB,2.5GiB,11.19
0.527,edge1-edge1-mysql-1,0.24,376.3MiB,1GiB,36.75
0.608,edge1-edge1-minio-1,0.04,220.1MiB,2GiB,10.75
0.689,cloud_api_poc1,0.09,53.97MiB,2GiB,2.64
0.763,cloud_minio_poc1,0.04,224.3MiB,1GiB,21.91
0.837,cloud_mysql_poc1,0.25,367.8MiB,512MiB,71.84
1.062,edge3-edge3-minio-1,0.01,218.7MiB,2GiB,10.68 
1.138,edge2-edge2-api-1,0.19,318.5MiB,2.5GiB,12.44 
1.215,edge2-edge2-mysql-1,0.22,378.4MiB,1GiB,36.95 
1.292,edge2-edge2-minio-1,0.04,254.5MiB,2GiB,12.43 
1.368,edge1-edge1-api-1,0.19,286.4MiB,2.5GiB,11.19 
1.452,edge1-edge1-mysql-1,0.24,376.3MiB,1GiB,36.75 
1.529,edge1-edge1-minio-1,0.04,220.1MiB,2GiB,10.75 
1.604,cloud_api_poc1,0.09,53.97MiB,2GiB,2.64 
1.679,cloud_minio_poc1,0.04,224.3MiB,1GiB,21.91 
1.755,cloud_mysql_poc1,0.25,367.8MiB,512MiB,71.84 
1.831, ,,,,
1.904,edge3-edge3-api-1,0.15,288.3MiB,2.5GiB,11.26
1.981,edge3-edge3-mysql-1,0.22,376.6MiB,1GiB,36.78
2.057,edge3-edge3-minio-1,0.01,218.7MiB,2GiB,10.68
2.131,edge2-edge2-api-1,0.19,318.5MiB,2.5GiB,12.44
2.207,edge2-edge2-mysql-1,0.22,378.4MiB,1GiB,36.95
2.288,edge2-edge2-minio-1,0.04,254.5MiB,2GiB,12.43
2.363,edge1-edge1-api-1,0.19,286.4MiB,2.5GiB,11.19
2.442,edge1-edge1-mysql-1,0.24,376.3MiB,1GiB,36.75
2.515,edge1-edge1-minio-1,0.04,220.1MiB,2GiB,10.75
2.592,cloud_api_poc1,0.09,53.97MiB,2GiB,2.64
2.669,cloud_minio_poc1,0.04,224.3MiB,1GiB,21.91
2.746,cloud_mysql_poc1,0.25,367.8MiB,512MiB,71.84
2.819,edge3-edge3-api-1,0.15,288.3MiB,2.5GiB,11.26 
2.894,edge3-edge3-mysql-1,0.22,376.6MiB,1GiB,36.78 
3.047,edge2-edge2-api-1,0.19,318.5MiB,2.5GiB,12.44 
3.125,edge2-edge2-mysql-1,0.22,378.4MiB,1GiB,36.95 
3.200,edge2-edge2-minio-1,0.04,254.5MiB,2GiB,12.43 
3.275,edge1-edge1-api-1,0.19,286.4MiB,2.5GiB,11.19 
3.352,edge1-edge1-mysql-1,0.24,376.3MiB,1GiB,36.75 
3.426,edge1-edge1-minio-1,0.04,220.1MiB,2GiB,10.75 
3.506,cloud_api_poc1,0.09,53.97MiB,2GiB,2.64 
3.580,cloud_minio_poc1,0.04,224.3MiB,1GiB,21.91 
3.659,cloud_mysql_poc1,0.25,367.8MiB,512MiB,71.84 
3.735, ,,,,
3.809,edge3-edge3-api-1,0.99,288.4MiB,2.5GiB,11.27
3.887,edge3-edge3-mysql-1,0.40,376.4MiB,1GiB,36.75
3.963,edge3-edge3-minio-1,0.02,218.7MiB,2GiB,10.68
4.040,edge2-edge2-api-1,0.91,318.5MiB,2.5GiB,12.44
4.115,edge2-edge2-mysql-1,0.39,378.4MiB,1GiB,36.95
4.194,edge2-edge2-minio-1,0.00,254.5MiB,2GiB,12.43
4.301,edge1-edge1-api-1,0.86,286.4MiB,2.5GiB,11.19
4.378,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75
4.458,edge1-edge1-minio-1,0.00,220.1MiB,2GiB,10.75
4.535,cloud_api_poc1,0.96,54.25MiB,2GiB,2.65
4.608,cloud_minio_poc1,0.02,224.3MiB,1GiB,21.91
4.686,cloud_mysql_poc1,1.69,367.9MiB,512MiB,71.85
4.762,edge3-edge3-api-1,0.99,288.4MiB,2.5GiB,11.27 
4.835,edge3-edge3-mysql-1,0.40,376.4MiB,1GiB,36.75 
4.914,edge3-edge3-minio-1,0.02,218.7MiB,2GiB,10.68 
5.077,edge2-edge2-mysql-1,0.39,378.4MiB,1GiB,36.95 
5.153,edge2-edge2-minio-1,0.00,254.5MiB,2GiB,12.43 
5.230,edge1-edge1-api-1,0.86,286.4MiB,2.5GiB,11.19 
5.304,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75 
5.380,edge1-edge1-minio-1,0.00,220.1MiB,2GiB,10.75 
5.468,cloud_api_poc1,0.96,54.25MiB,2GiB,2.65 
5.550,cloud_minio_poc1,0.02,224.3MiB,1GiB,21.91 
5.627,cloud_mysql_poc1,1.69,367.9MiB,512MiB,71.85 
5.718, ,,,,
5.792,edge3-edge3-api-1,0.99,288.4MiB,2.5GiB,11.27
5.866,edge3-edge3-mysql-1,0.40,376.4MiB,1GiB,36.75
