elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
25.068,edge1-edge1-api-1,226.78,1.012GiB,9.5GiB,10.65 
25.179,edge1-edge1-mysql-1,0.42,380.8MiB,3.5GiB,10.62 
25.293,edge1-edge1-minio-1,23.64,421.4MiB,7GiB,5.88 
25.418, ,,,,
26.064,edge1-edge1-mysql-1,0.42,380.8MiB,3.5GiB,10.62 
26.190,edge1-edge1-minio-1,23.64,421.4MiB,7GiB,5.88 
26.332, ,,,,
26.464,edge1-edge1-api-1,230.68,1.011GiB,9.5GiB,10.64
27.014,edge1-edge1-mysql-1,0.42,380.8MiB,3.5GiB,10.62 
27.132,edge1-edge1-minio-1,26.97,421.3MiB,7GiB,5.88 
27.274, ,,,,
27.412,edge1-edge1-api-1,230.68,1.011GiB,9.5GiB,10.64
28.075,edge1-edge1-minio-1,26.97,421.3MiB,7GiB,5.88 
28.209, ,,,,
28.353,edge1-edge1-api-1,235.48,1.012GiB,9.5GiB,10.65
28.487,edge1-edge1-mysql-1,0.48,380.8MiB,3.5GiB,10.62
29.115, ,,,,
29.244,edge1-edge1-api-1,235.48,1.012GiB,9.5GiB,10.65
29.413,edge1-edge1-mysql-1,0.48,380.8MiB,3.5GiB,10.62
29.526,edge1-edge1-minio-1,28.10,421.5MiB,7GiB,5.88
30.003, ,,,,
30.134,edge1-edge1-api-1,225.40,1.012GiB,9.5GiB,10.65
30.251,edge1-edge1-mysql-1,1.37,380.8MiB,3.5GiB,10.62
30.375,edge1-edge1-minio-1,27.83,421.6MiB,7GiB,5.88
31.038,edge1-edge1-api-1,225.40,1.012GiB,9.5GiB,10.65
31.174,edge1-edge1-mysql-1,1.37,380.8MiB,3.5GiB,10.62
31.311,edge1-edge1-minio-1,27.83,421.6MiB,7GiB,5.88
31.845, ,,,,
32.119,edge1-edge1-mysql-1,0.52,380.8MiB,3.5GiB,10.62
32.236,edge1-edge1-minio-1,24.04,421.1MiB,7GiB,5.87
32.363,edge1-edge1-api-1,231.91,1.009GiB,9.5GiB,10.62 
32.736, ,,,,
33.118,edge1-edge1-minio-1,24.04,421.1MiB,7GiB,5.87
33.246,edge1-edge1-api-1,231.91,1.009GiB,9.5GiB,10.62 
33.371,edge1-edge1-mysql-1,0.52,380.8MiB,3.5GiB,10.62 
33.632, ,,,,
34.017,edge1-edge1-minio-1,29.98,421.5MiB,7GiB,5.88
34.145,edge1-edge1-api-1,270.35,1.005GiB,9.5GiB,10.58 
34.281,edge1-edge1-mysql-1,0.46,380.8MiB,3.5GiB,10.62 
34.550, ,,,,
