elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.086,edge1-edge1-api-1,0.45,1.018GiB,9.5GiB,10.72
0.175,edge1-edge1-minio-1,0.03,243.6MiB,7GiB,3.40
0.265,edge1-edge1-mysql-1,0.52,378.8MiB,3.5GiB,10.57
0.612, ,,,,
1.061,edge1-edge1-minio-1,0.03,243.6MiB,7GiB,3.40 
1.150,edge1-edge1-mysql-1,0.52,378.8MiB,3.5GiB,10.57 
1.239, ,,,,
1.328,edge1-edge1-api-1,75.75,1.03GiB,9.5GiB,10.84
2.040,edge1-edge1-minio-1,8.55,304.1MiB,7GiB,4.24
2.132,edge1-edge1-mysql-1,0.44,378.8MiB,3.5GiB,10.57
2.222,edge1-edge1-api-1,75.75,1.03GiB,9.5GiB,10.84 
2.481, ,,,,
3.003,edge1-edge1-mysql-1,0.37,378.8MiB,3.5GiB,10.57 
3.095, ,,,,
3.184,edge1-edge1-api-1,72.01,1.036GiB,9.5GiB,10.90
3.272,edge1-edge1-minio-1,11.58,333MiB,7GiB,4.65
4.066,edge1-edge1-api-1,68.12,1.037GiB,9.5GiB,10.92 
4.163,edge1-edge1-minio-1,8.46,333.5MiB,7GiB,4.65 
4.254,edge1-edge1-mysql-1,1.12,378.8MiB,3.5GiB,10.57 
4.342, ,,,,
5.070,edge1-edge1-api-1,68.76,1.04GiB,9.5GiB,10.95
5.160,edge1-edge1-minio-1,11.51,353.5MiB,7GiB,4.93
5.245,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57
5.601, ,,,,
6.064,edge1-edge1-minio-1,11.51,353.5MiB,7GiB,4.93 
6.154,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57 
6.244, ,,,,
6.331,edge1-edge1-api-1,72.89,1.046GiB,9.5GiB,11.01
7.089,edge1-edge1-minio-1,8.30,353.1MiB,7GiB,4.93
7.184,edge1-edge1-mysql-1,0.52,378.8MiB,3.5GiB,10.57
7.272,edge1-edge1-api-1,72.89,1.046GiB,9.5GiB,11.01 
7.531, ,,,,
8.063,edge1-edge1-mysql-1,0.38,378.8MiB,3.5GiB,10.57 
8.152, ,,,,
8.237,edge1-edge1-api-1,71.31,1.047GiB,9.5GiB,11.02
8.322,edge1-edge1-minio-1,8.58,353.5MiB,7GiB,4.93
9.049,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57
9.139,edge1-edge1-api-1,70.76,1.047GiB,9.5GiB,11.02 
9.229,edge1-edge1-minio-1,11.63,353.7MiB,7GiB,4.93 
9.399, ,,,,
10.014, ,,,,
10.100,edge1-edge1-api-1,76.55,1.051GiB,9.5GiB,11.06
10.190,edge1-edge1-minio-1,8.82,354MiB,7GiB,4.94
10.280,edge1-edge1-mysql-1,1.24,378.8MiB,3.5GiB,10.57
11.074,edge1-edge1-minio-1,8.82,354MiB,7GiB,4.94 
