elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.082,edge3-edge3-api-1,0.31,351.8MiB,2.5GiB,13.74
0.173,edge3-edge3-mysql-1,0.43,376.3MiB,1GiB,36.75
0.275,edge3-edge3-minio-1,0.08,231.9MiB,2GiB,11.32
0.360,edge2-edge2-api-1,0.38,380.9MiB,2.5GiB,14.88
0.459,edge2-edge2-minio-1,0.08,225MiB,2GiB,10.99
0.550,edge2-edge2-mysql-1,0.44,378.3MiB,1GiB,36.94
0.654,edge1-edge1-api-1,0.39,317.9MiB,2.5GiB,12.42
0.754,edge1-edge1-minio-1,0.08,223.4MiB,2GiB,10.91
0.843,edge1-edge1-mysql-1,0.45,376.3MiB,1GiB,36.75
0.938,cloud_api_poc1,0.19,57.46MiB,2GiB,2.81
1.043,cloud_mysql_poc1,0.50,367.8MiB,512MiB,71.84
1.136,cloud_minio_poc1,0.07,224MiB,1GiB,21.87
1.229,edge3-edge3-api-1,0.31,351.8MiB,2.5GiB,13.74 
1.328,edge3-edge3-mysql-1,0.43,376.3MiB,1GiB,36.75 
1.433,edge3-edge3-minio-1,0.08,231.9MiB,2GiB,11.32 
1.526,edge2-edge2-api-1,0.38,380.9MiB,2.5GiB,14.88 
1.619,edge2-edge2-minio-1,0.08,225MiB,2GiB,10.99 
1.716,edge2-edge2-mysql-1,0.44,378.3MiB,1GiB,36.94 
1.826,edge1-edge1-api-1,0.39,317.9MiB,2.5GiB,12.42 
1.928,edge1-edge1-minio-1,0.08,223.4MiB,2GiB,10.91 
2.054,edge1-edge1-mysql-1,0.45,376.3MiB,1GiB,36.75 
2.171,cloud_api_poc1,0.19,57.46MiB,2GiB,2.81 
2.258,cloud_mysql_poc1,0.50,367.8MiB,512MiB,71.84 
2.373,cloud_minio_poc1,0.07,224MiB,1GiB,21.87 
2.472, ,,,,
2.563,edge3-edge3-api-1,0.31,351.8MiB,2.5GiB,13.74
2.653,edge3-edge3-mysql-1,0.43,376.3MiB,1GiB,36.75
2.781,edge3-edge3-minio-1,0.08,231.9MiB,2GiB,11.32
2.892,edge2-edge2-api-1,0.38,380.9MiB,2.5GiB,14.88
2.981,edge2-edge2-minio-1,0.08,225MiB,2GiB,10.99
3.078,edge2-edge2-mysql-1,0.44,378.3MiB,1GiB,36.94
3.180,edge1-edge1-api-1,0.39,317.9MiB,2.5GiB,12.42
3.304,edge1-edge1-minio-1,0.08,223.4MiB,2GiB,10.91
3.402,edge1-edge1-mysql-1,0.45,376.3MiB,1GiB,36.75
3.493,cloud_api_poc1,0.19,57.46MiB,2GiB,2.81
3.584,cloud_mysql_poc1,0.50,367.8MiB,512MiB,71.84
3.696,cloud_minio_poc1,0.07,224MiB,1GiB,21.87
3.802,edge3-edge3-api-1,0.31,351.8MiB,2.5GiB,13.74 
3.900,edge3-edge3-mysql-1,0.43,376.3MiB,1GiB,36.75 
3.997,edge3-edge3-minio-1,0.08,231.9MiB,2GiB,11.32 
4.121,edge2-edge2-api-1,0.38,380.9MiB,2.5GiB,14.88 
4.206,edge2-edge2-minio-1,0.08,225MiB,2GiB,10.99 
4.308,edge2-edge2-mysql-1,0.44,378.3MiB,1GiB,36.94 
4.414,edge1-edge1-api-1,0.39,317.9MiB,2.5GiB,12.42 
4.515,edge1-edge1-minio-1,0.08,223.4MiB,2GiB,10.91 
4.615,edge1-edge1-mysql-1,0.45,376.3MiB,1GiB,36.75 
4.711,cloud_api_poc1,0.19,57.46MiB,2GiB,2.81 
