elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.063,edge3-edge3-api-1,1.72,372.6MiB,2.5GiB,14.55
0.134,edge3-edge3-mysql-1,2.48,376.4MiB,1GiB,36.75
0.207,edge3-edge3-minio-1,0.43,218.1MiB,2GiB,10.65
0.276,edge2-edge2-api-1,2.09,328.5MiB,2.5GiB,12.83
0.341,edge2-edge2-minio-1,0.44,219.1MiB,2GiB,10.70
0.409,edge2-edge2-mysql-1,2.60,376.4MiB,1GiB,36.75
0.474,edge1-edge1-api-1,2.22,360.3MiB,2.5GiB,14.08
0.539,edge1-edge1-mysql-1,2.59,376.6MiB,1GiB,36.78
0.608,edge1-edge1-minio-1,0.53,232.4MiB,2GiB,11.35
0.674,cloud_api_poc1,1.09,55.19MiB,2GiB,2.69
0.742,cloud_mysql_poc1,2.73,430.4MiB,512MiB,84.06
0.811,cloud_minio_poc1,0.39,275MiB,1GiB,26.86
1.007,edge3-edge3-minio-1,0.43,218.1MiB,2GiB,10.65 
1.073,edge2-edge2-api-1,2.09,328.5MiB,2.5GiB,12.83 
1.137,edge2-edge2-minio-1,0.44,219.1MiB,2GiB,10.70 
1.206,edge2-edge2-mysql-1,2.60,376.4MiB,1GiB,36.75 
1.271,edge1-edge1-api-1,2.22,360.3MiB,2.5GiB,14.08 
1.340,edge1-edge1-mysql-1,2.59,376.6MiB,1GiB,36.78 
1.410,edge1-edge1-minio-1,0.53,232.4MiB,2GiB,11.35 
1.476,cloud_api_poc1,1.09,55.19MiB,2GiB,2.69 
1.542,cloud_mysql_poc1,2.73,430.4MiB,512MiB,84.06 
1.611,cloud_minio_poc1,0.39,275MiB,1GiB,26.86 
1.676, ,,,,
1.744,edge3-edge3-api-1,1.72,372.6MiB,2.5GiB,14.55
1.812,edge3-edge3-mysql-1,2.48,376.4MiB,1GiB,36.75
2.010,edge2-edge2-minio-1,0.44,219.1MiB,2GiB,10.70
2.077,edge2-edge2-mysql-1,2.60,376.4MiB,1GiB,36.75
2.143,edge1-edge1-api-1,2.22,360.3MiB,2.5GiB,14.08
