elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
7.195,edge3-edge3-minio-1,0.83,254.9MiB,2GiB,12.45 
7.271,edge3-edge3-mysql-1,0.43,376.3MiB,1GiB,36.75 
7.387,edge2-edge2-api-1,11.17,320.5MiB,2.5GiB,12.52 
7.467,edge2-edge2-mysql-1,0.45,376.3MiB,1GiB,36.75 
7.551,edge2-edge2-minio-1,0.77,220MiB,2GiB,10.74 
7.632,edge1-edge1-api-1,13.79,354.7MiB,2.5GiB,13.86 
7.713,edge1-edge1-mysql-1,0.46,376.3MiB,1GiB,36.75 
7.790,edge1-edge1-minio-1,1.07,232.5MiB,2GiB,11.35 
7.875,cloud_api_poc1,14.31,55.89MiB,2GiB,2.73 
7.963,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84 
8.042,cloud_minio_poc1,1.83,232.1MiB,1GiB,22.67 
8.121, ,,,,
8.197,edge3-edge3-api-1,16.16,369.2MiB,2.5GiB,14.42
8.275,edge3-edge3-minio-1,0.99,254.9MiB,2GiB,12.45
8.356,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75
8.436,edge2-edge2-api-1,21.71,324.2MiB,2.5GiB,12.66
8.525,edge2-edge2-mysql-1,0.98,376.4MiB,1GiB,36.75
8.609,edge2-edge2-minio-1,1.61,230.2MiB,2GiB,11.24
8.690,edge1-edge1-api-1,13.22,357.1MiB,2.5GiB,13.95
8.768,edge1-edge1-mysql-1,0.29,376.3MiB,1GiB,36.75
8.846,edge1-edge1-minio-1,1.06,236.6MiB,2GiB,11.55
8.925,cloud_api_poc1,16.90,58.5MiB,2GiB,2.86
9.016,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84
9.105,cloud_minio_poc1,1.89,240.2MiB,1GiB,23.46
9.182,edge3-edge3-api-1,16.16,369.2MiB,2.5GiB,14.42 
9.262,edge3-edge3-minio-1,0.99,254.9MiB,2GiB,12.45 
9.339,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75 
9.418,edge2-edge2-api-1,21.71,324.2MiB,2.5GiB,12.66 
9.508,edge2-edge2-mysql-1,0.98,376.4MiB,1GiB,36.75 
9.596,edge2-edge2-minio-1,1.61,230.2MiB,2GiB,11.24 
9.674,edge1-edge1-api-1,13.22,357.1MiB,2.5GiB,13.95 
9.760,edge1-edge1-mysql-1,0.29,376.3MiB,1GiB,36.75 
9.844,edge1-edge1-minio-1,1.06,236.6MiB,2GiB,11.55 
9.927,cloud_api_poc1,16.90,58.5MiB,2GiB,2.86 
10.003,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84 
10.082,cloud_minio_poc1,1.89,240.2MiB,1GiB,23.46 
10.159, ,,,,
10.236,edge3-edge3-api-1,16.16,369.2MiB,2.5GiB,14.42
10.321,edge3-edge3-minio-1,0.99,254.9MiB,2GiB,12.45
10.414,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75
10.491,edge2-edge2-api-1,21.71,324.2MiB,2.5GiB,12.66
10.578,edge2-edge2-mysql-1,0.98,376.4MiB,1GiB,36.75
10.656,edge2-edge2-minio-1,1.61,230.2MiB,2GiB,11.24
10.735,edge1-edge1-api-1,13.22,357.1MiB,2.5GiB,13.95
10.839,edge1-edge1-mysql-1,0.29,376.3MiB,1GiB,36.75
10.919,edge1-edge1-minio-1,1.06,236.6MiB,2GiB,11.55
10.998,cloud_api_poc1,16.90,58.5MiB,2GiB,2.86
11.096,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84
11.176,cloud_minio_poc1,1.89,240.2MiB,1GiB,23.46
11.256,edge3-edge3-api-1,16.16,369.2MiB,2.5GiB,14.42 
11.338,edge3-edge3-minio-1,0.99,254.9MiB,2GiB,12.45 
11.418,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75 
11.500,edge2-edge2-api-1,21.71,324.2MiB,2.5GiB,12.66 
11.581,edge2-edge2-mysql-1,0.98,376.4MiB,1GiB,36.75 
11.658,edge2-edge2-minio-1,1.61,230.2MiB,2GiB,11.24 
11.743,edge1-edge1-api-1,13.22,357.1MiB,2.5GiB,13.95 
11.823,edge1-edge1-mysql-1,0.29,376.3MiB,1GiB,36.75 
11.905,edge1-edge1-minio-1,1.06,236.6MiB,2GiB,11.55 
11.982,cloud_api_poc1,16.90,58.5MiB,2GiB,2.86 
12.057,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84 
12.137,cloud_minio_poc1,1.89,240.2MiB,1GiB,23.46 
12.215, ,,,,
12.296,edge3-edge3-api-1,11.15,370.3MiB,2.5GiB,14.46
12.377,edge3-edge3-minio-1,0.70,254.9MiB,2GiB,12.45
12.455,edge3-edge3-mysql-1,0.49,376.3MiB,1GiB,36.75
12.536,edge2-edge2-api-1,17.07,325.5MiB,2.5GiB,12.72
12.625,edge2-edge2-mysql-1,0.35,376.4MiB,1GiB,36.75
12.704,edge2-edge2-minio-1,1.10,236.3MiB,2GiB,11.54
