elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.078,edge3-edge3-api-1,0.59,319.2MiB,2.5GiB,12.47
0.164,edge3-edge3-minio-1,0.14,226.2MiB,2GiB,11.05
0.248,edge3-edge3-mysql-1,0.82,376.4MiB,1GiB,36.75
0.337,edge2-edge2-api-1,0.71,273.6MiB,2.5GiB,10.69
0.428,edge2-edge2-minio-1,0.13,225.8MiB,2GiB,11.03
0.511,edge2-edge2-mysql-1,0.82,376.3MiB,1GiB,36.75
0.592,edge1-edge1-api-1,0.75,335MiB,2.5GiB,13.08
0.672,edge1-edge1-minio-1,0.14,230.3MiB,2GiB,11.25
0.754,edge1-edge1-mysql-1,0.87,376.4MiB,1GiB,36.75
0.835,cloud_api_poc1,0.36,56.26MiB,2GiB,2.75
0.919,cloud_mysql_poc1,0.89,367.8MiB,512MiB,71.84
1.041,cloud_minio_poc1,0.13,230.3MiB,1GiB,22.49
1.134,edge3-edge3-api-1,0.59,319.2MiB,2.5GiB,12.47 
1.216,edge3-edge3-minio-1,0.14,226.2MiB,2GiB,11.05 
1.294,edge3-edge3-mysql-1,0.82,376.4MiB,1GiB,36.75 
1.374,edge2-edge2-api-1,0.71,273.6MiB,2.5GiB,10.69 
1.453,edge2-edge2-minio-1,0.13,225.8MiB,2GiB,11.03 
1.536,edge2-edge2-mysql-1,0.82,376.3MiB,1GiB,36.75 
1.615,edge1-edge1-api-1,0.75,335MiB,2.5GiB,13.08 
1.702,edge1-edge1-minio-1,0.14,230.3MiB,2GiB,11.25 
1.797,edge1-edge1-mysql-1,0.87,376.4MiB,1GiB,36.75 
1.887,cloud_api_poc1,0.36,56.26MiB,2GiB,2.75 
1.971,cloud_mysql_poc1,0.89,367.8MiB,512MiB,71.84 
2.054,cloud_minio_poc1,0.13,230.3MiB,1GiB,22.49 
2.150, ,,,,
2.233,edge3-edge3-api-1,0.59,319.2MiB,2.5GiB,12.47
2.313,edge3-edge3-minio-1,0.14,226.2MiB,2GiB,11.05
2.394,edge3-edge3-mysql-1,0.82,376.4MiB,1GiB,36.75
2.482,edge2-edge2-api-1,0.71,273.6MiB,2.5GiB,10.69
2.565,edge2-edge2-minio-1,0.13,225.8MiB,2GiB,11.03
2.644,edge2-edge2-mysql-1,0.82,376.3MiB,1GiB,36.75
2.735,edge1-edge1-api-1,0.75,335MiB,2.5GiB,13.08
2.819,edge1-edge1-minio-1,0.14,230.3MiB,2GiB,11.25
2.903,edge1-edge1-mysql-1,0.87,376.4MiB,1GiB,36.75
2.988,cloud_api_poc1,0.36,56.26MiB,2GiB,2.75
3.069,cloud_mysql_poc1,0.89,367.8MiB,512MiB,71.84
3.152,cloud_minio_poc1,0.13,230.3MiB,1GiB,22.49
3.242,edge3-edge3-api-1,0.59,319.2MiB,2.5GiB,12.47 
3.324,edge3-edge3-minio-1,0.14,226.2MiB,2GiB,11.05 
3.406,edge3-edge3-mysql-1,0.82,376.4MiB,1GiB,36.75 
3.486,edge2-edge2-api-1,0.71,273.6MiB,2.5GiB,10.69 
3.571,edge2-edge2-minio-1,0.13,225.8MiB,2GiB,11.03 
3.654,edge2-edge2-mysql-1,0.82,376.3MiB,1GiB,36.75 
3.732,edge1-edge1-api-1,0.75,335MiB,2.5GiB,13.08 
3.816,edge1-edge1-minio-1,0.14,230.3MiB,2GiB,11.25 
3.897,edge1-edge1-mysql-1,0.87,376.4MiB,1GiB,36.75 
3.983,cloud_api_poc1,0.36,56.26MiB,2GiB,2.75 
4.066,cloud_mysql_poc1,0.89,367.8MiB,512MiB,71.84 
4.148,cloud_minio_poc1,0.13,230.3MiB,1GiB,22.49 
4.225, ,,,,
4.303,edge3-edge3-api-1,32.18,322.5MiB,2.5GiB,12.60
4.386,edge3-edge3-minio-1,2.27,238.3MiB,2GiB,11.64
4.468,edge3-edge3-mysql-1,0.33,376.4MiB,1GiB,36.75
4.555,edge2-edge2-api-1,30.76,276.9MiB,2.5GiB,10.82
4.640,edge2-edge2-minio-1,2.15,233.9MiB,2GiB,11.42
4.728,edge2-edge2-mysql-1,0.33,376.3MiB,1GiB,36.75
4.813,edge1-edge1-api-1,21.83,338.4MiB,2.5GiB,13.22
4.895,edge1-edge1-minio-1,1.98,242MiB,2GiB,11.81
4.980,edge1-edge1-mysql-1,1.27,376.4MiB,1GiB,36.75
5.058,cloud_api_poc1,32.42,58.51MiB,2GiB,2.86
5.149,cloud_mysql_poc1,0.34,367.8MiB,512MiB,71.84
5.232,cloud_minio_poc1,3.72,254.6MiB,1GiB,24.86
5.320,edge3-edge3-api-1,32.18,322.5MiB,2.5GiB,12.60 
5.403,edge3-edge3-minio-1,2.27,238.3MiB,2GiB,11.64 
5.487,edge3-edge3-mysql-1,0.33,376.4MiB,1GiB,36.75 
5.572,edge2-edge2-api-1,30.76,276.9MiB,2.5GiB,10.82 
5.655,edge2-edge2-minio-1,2.15,233.9MiB,2GiB,11.42 
5.741,edge2-edge2-mysql-1,0.33,376.3MiB,1GiB,36.75 
5.824,edge1-edge1-api-1,21.83,338.4MiB,2.5GiB,13.22 
5.904,edge1-edge1-minio-1,1.98,242MiB,2GiB,11.81 
5.992,edge1-edge1-mysql-1,1.27,376.4MiB,1GiB,36.75 
6.080,cloud_api_poc1,32.42,58.51MiB,2GiB,2.86 
6.163,cloud_mysql_poc1,0.34,367.8MiB,512MiB,71.84 
