elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.075,edge1-edge1-api-1,0.68,1018MiB,9.5GiB,10.46
0.160,edge1-edge1-mysql-1,0.23,378.8MiB,3.5GiB,10.57
0.241,edge1-edge1-minio-1,0.04,245.9MiB,7GiB,3.43
0.567, ,,,,
1.077,edge1-edge1-minio-1,0.04,245.9MiB,7GiB,3.43 
1.157, ,,,,
1.237,edge1-edge1-api-1,93.53,1.008GiB,9.5GiB,10.61
1.316,edge1-edge1-mysql-1,0.34,378.8MiB,3.5GiB,10.57
2.039,edge1-edge1-api-1,93.53,1.008GiB,9.5GiB,10.61 
2.119,edge1-edge1-mysql-1,0.34,378.8MiB,3.5GiB,10.57 
2.198,edge1-edge1-minio-1,13.91,327.1MiB,7GiB,4.56 
2.280, ,,,,
3.075,edge1-edge1-minio-1,11.83,327.6MiB,7GiB,4.57
3.161,edge1-edge1-api-1,105.00,1.019GiB,9.5GiB,10.73 
3.242,edge1-edge1-mysql-1,1.45,378.8MiB,3.5GiB,10.57 
3.403, ,,,,
4.028,edge1-edge1-api-1,91.31,1.023GiB,9.5GiB,10.76
4.107,edge1-edge1-mysql-1,0.33,378.8MiB,3.5GiB,10.57
4.186,edge1-edge1-minio-1,14.20,356MiB,7GiB,4.97
4.506, ,,,,
5.055, ,,,,
5.140,edge1-edge1-api-1,94.91,1.017GiB,9.5GiB,10.71
5.220,edge1-edge1-mysql-1,0.36,378.8MiB,3.5GiB,10.57
5.298,edge1-edge1-minio-1,14.22,355.9MiB,7GiB,4.97
6.013,edge1-edge1-mysql-1,0.36,378.8MiB,3.5GiB,10.57 
6.093,edge1-edge1-minio-1,10.66,356.2MiB,7GiB,4.97 
6.176, ,,,,
6.263,edge1-edge1-api-1,89.78,1.018GiB,9.5GiB,10.71
7.064,edge1-edge1-api-1,89.70,1.018GiB,9.5GiB,10.72 
7.169,edge1-edge1-mysql-1,0.36,378.8MiB,3.5GiB,10.57 
7.251,edge1-edge1-minio-1,14.34,404.8MiB,7GiB,5.65 
7.338, ,,,,
8.055,edge1-edge1-mysql-1,1.17,378.8MiB,3.5GiB,10.57
8.139,edge1-edge1-minio-1,11.01,404.4MiB,7GiB,5.64
8.220,edge1-edge1-api-1,92.30,1.018GiB,9.5GiB,10.71 
8.490, ,,,,
9.040, ,,,,
9.119,edge1-edge1-api-1,102.98,1.019GiB,9.5GiB,10.73
9.197,edge1-edge1-mysql-1,0.37,378.8MiB,3.5GiB,10.57
9.278,edge1-edge1-minio-1,14.78,404.5MiB,7GiB,5.64
10.022,edge1-edge1-mysql-1,0.37,378.8MiB,3.5GiB,10.57 
10.108,edge1-edge1-minio-1,14.78,404.5MiB,7GiB,5.64 
10.191, ,,,,
10.272,edge1-edge1-api-1,96.92,1.022GiB,9.5GiB,10.75
11.070,edge1-edge1-api-1,96.92,1.022GiB,9.5GiB,10.75 
11.150,edge1-edge1-mysql-1,0.43,378.8MiB,3.5GiB,10.57 
11.229,edge1-edge1-minio-1,11.46,404.5MiB,7GiB,5.64 
11.307, ,,,,
12.032,edge1-edge1-mysql-1,0.37,378.8MiB,3.5GiB,10.57
12.111,edge1-edge1-minio-1,13.72,406.6MiB,7GiB,5.67
12.190,edge1-edge1-api-1,93.27,1.021GiB,9.5GiB,10.74 
12.428, ,,,,
13.060,edge1-edge1-api-1,102.91,1.021GiB,9.5GiB,10.75
13.139,edge1-edge1-mysql-1,0.38,378.8MiB,3.5GiB,10.57
13.221,edge1-edge1-minio-1,11.91,407.1MiB,7GiB,5.68
13.543, ,,,,
14.022,edge1-edge1-minio-1,10.83,406.6MiB,7GiB,5.67 
14.104, ,,,,
14.184,edge1-edge1-api-1,95.36,1.023GiB,9.5GiB,10.77
14.266,edge1-edge1-mysql-1,1.12,378.8MiB,3.5GiB,10.57
15.069,edge1-edge1-mysql-1,0.35,378.8MiB,3.5GiB,10.57 
15.153,edge1-edge1-minio-1,13.67,407.3MiB,7GiB,5.68 
15.253, ,,,,
15.340,edge1-edge1-api-1,89.25,1.023GiB,9.5GiB,10.76
16.065,edge1-edge1-minio-1,11.06,406.8MiB,7GiB,5.68
16.145,edge1-edge1-api-1,94.35,1.024GiB,9.5GiB,10.78 
16.231,edge1-edge1-mysql-1,0.35,378.8MiB,3.5GiB,10.57 
16.391, ,,,,
17.052,edge1-edge1-api-1,100.55,1.023GiB,9.5GiB,10.77
17.132,edge1-edge1-mysql-1,0.40,378.8MiB,3.5GiB,10.57
17.213,edge1-edge1-minio-1,14.00,407MiB,7GiB,5.68
17.536, ,,,,
18.007,edge1-edge1-minio-1,14.00,407MiB,7GiB,5.68 
18.087, ,,,,
18.167,edge1-edge1-api-1,111.75,1.023GiB,9.5GiB,10.77
18.249,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57
19.067,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57 
19.148,edge1-edge1-minio-1,11.59,407MiB,7GiB,5.68 
19.230, ,,,,
19.309,edge1-edge1-api-1,101.13,1.023GiB,9.5GiB,10.77
20.038,edge1-edge1-minio-1,14.29,407MiB,7GiB,5.68
20.156,edge1-edge1-api-1,101.13,1.023GiB,9.5GiB,10.77 
20.236,edge1-edge1-mysql-1,1.10,378.8MiB,3.5GiB,10.57 
20.394, ,,,,
21.045,edge1-edge1-api-1,97.82,1.023GiB,9.5GiB,10.77
21.126,edge1-edge1-mysql-1,0.38,378.8MiB,3.5GiB,10.57
21.208,edge1-edge1-minio-1,11.02,407.1MiB,7GiB,5.68
21.532, ,,,,
22.015,edge1-edge1-minio-1,14.73,410.9MiB,7GiB,5.73 
22.095, ,,,,
22.175,edge1-edge1-api-1,100.45,1.024GiB,9.5GiB,10.78
22.256,edge1-edge1-mysql-1,0.41,378.8MiB,3.5GiB,10.57
23.049,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57 
23.129,edge1-edge1-minio-1,10.91,411.3MiB,7GiB,5.74 
23.210, ,,,,
23.289,edge1-edge1-api-1,92.77,1.024GiB,9.5GiB,10.78
24.001,edge1-edge1-minio-1,15.74,410.9MiB,7GiB,5.73
