elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
25.014,edge1-edge1-mysql-1,0.40,378.8MiB,3.5GiB,10.57 
25.098,edge1-edge1-minio-1,19.60,419.1MiB,7GiB,5.85 
25.183, ,,,,
25.270,edge1-edge1-api-1,141.51,999.1MiB,9.5GiB,10.27
26.034,edge1-edge1-minio-1,16.21,419.5MiB,7GiB,5.85
26.121,edge1-edge1-api-1,132.26,999MiB,9.5GiB,10.27 
26.206,edge1-edge1-mysql-1,1.39,378.9MiB,3.5GiB,10.57 
26.384, ,,,,
27.015, ,,,,
27.106,edge1-edge1-api-1,146.50,1001MiB,9.5GiB,10.29
27.208,edge1-edge1-mysql-1,0.42,378.8MiB,3.5GiB,10.57
27.304,edge1-edge1-minio-1,20.39,419.6MiB,7GiB,5.85
28.042,edge1-edge1-api-1,146.50,1001MiB,9.5GiB,10.29 
28.129,edge1-edge1-mysql-1,0.42,378.8MiB,3.5GiB,10.57 
28.218,edge1-edge1-minio-1,20.39,419.6MiB,7GiB,5.85 
28.306, ,,,,
29.023,edge1-edge1-api-1,130.70,997.1MiB,9.5GiB,10.25
29.148,edge1-edge1-mysql-1,0.46,378.8MiB,3.5GiB,10.57
29.239,edge1-edge1-minio-1,16.16,419.3MiB,7GiB,5.85
29.581, ,,,,
30.016,edge1-edge1-mysql-1,0.42,378.8MiB,3.5GiB,10.57 
30.108,edge1-edge1-minio-1,18.80,419.4MiB,7GiB,5.85 
30.194, ,,,,
30.283,edge1-edge1-api-1,130.25,997.3MiB,9.5GiB,10.25
31.024,edge1-edge1-mysql-1,0.43,378.8MiB,3.5GiB,10.57
31.115,edge1-edge1-minio-1,15.83,419.4MiB,7GiB,5.85
31.205,edge1-edge1-api-1,129.49,997.7MiB,9.5GiB,10.26 
31.464, ,,,,
32.077, ,,,,
32.164,edge1-edge1-api-1,133.06,998.1MiB,9.5GiB,10.26
32.251,edge1-edge1-mysql-1,1.35,378.8MiB,3.5GiB,10.57
32.340,edge1-edge1-minio-1,18.92,419.5MiB,7GiB,5.85
33.036,edge1-edge1-api-1,133.06,998.1MiB,9.5GiB,10.26 
33.124,edge1-edge1-mysql-1,1.35,378.8MiB,3.5GiB,10.57 
33.213,edge1-edge1-minio-1,18.92,419.5MiB,7GiB,5.85 
33.300, ,,,,
34.009,edge1-edge1-api-1,129.99,999.9MiB,9.5GiB,10.28
34.096,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57
34.183,edge1-edge1-minio-1,19.59,419.8MiB,7GiB,5.86
34.536, ,,,,
35.064,edge1-edge1-minio-1,18.05,419.7MiB,7GiB,5.85 
35.157, ,,,,
35.245,edge1-edge1-api-1,158.28,1001MiB,9.5GiB,10.29
35.340,edge1-edge1-mysql-1,0.38,378.8MiB,3.5GiB,10.57
36.048,edge1-edge1-minio-1,21.03,419.6MiB,7GiB,5.85
36.136,edge1-edge1-api-1,147.33,1001MiB,9.5GiB,10.29 
36.225,edge1-edge1-mysql-1,0.51,378.8MiB,3.5GiB,10.57 
36.403, ,,,,
37.027, ,,,,
37.120,edge1-edge1-api-1,152.26,1002MiB,9.5GiB,10.30
37.225,edge1-edge1-mysql-1,0.49,378.8MiB,3.5GiB,10.57
37.331,edge1-edge1-minio-1,16.86,419.3MiB,7GiB,5.85
38.086,edge1-edge1-api-1,152.26,1002MiB,9.5GiB,10.30 
38.174,edge1-edge1-mysql-1,0.49,378.8MiB,3.5GiB,10.57 
38.265,edge1-edge1-minio-1,16.86,419.3MiB,7GiB,5.85 
38.354, ,,,,
39.011, ,,,,
39.149,edge1-edge1-api-1,132.34,1003MiB,9.5GiB,10.31
39.246,edge1-edge1-mysql-1,1.32,378.8MiB,3.5GiB,10.57
39.343,edge1-edge1-minio-1,19.68,419.7MiB,7GiB,5.85
40.073,edge1-edge1-api-1,144.68,1008MiB,9.5GiB,10.36 
40.166,edge1-edge1-mysql-1,0.47,378.8MiB,3.5GiB,10.57 
40.256,edge1-edge1-minio-1,16.69,419.2MiB,7GiB,5.85 
40.344, ,,,,
41.013, ,,,,
41.105,edge1-edge1-api-1,133.43,1005MiB,9.5GiB,10.33
41.194,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57
41.284,edge1-edge1-minio-1,19.74,419.7MiB,7GiB,5.86
42.003,edge1-edge1-api-1,133.43,1005MiB,9.5GiB,10.33 
42.091,edge1-edge1-mysql-1,0.39,378.8MiB,3.5GiB,10.57 
42.180,edge1-edge1-minio-1,19.74,419.7MiB,7GiB,5.86 
42.270, ,,,,
43.079,edge1-edge1-mysql-1,0.40,378.8MiB,3.5GiB,10.57
43.169,edge1-edge1-minio-1,19.05,419.2MiB,7GiB,5.85
43.256,edge1-edge1-api-1,132.42,1004MiB,9.5GiB,10.32 
43.536, ,,,,
44.068,edge1-edge1-minio-1,16.72,419.4MiB,7GiB,5.85 
44.162, ,,,,
44.265,edge1-edge1-api-1,135.31,1005MiB,9.5GiB,10.33
44.363,edge1-edge1-mysql-1,0.46,378.8MiB,3.5GiB,10.57
45.008,edge1-edge1-mysql-1,1.34,378.8MiB,3.5GiB,10.57
45.100,edge1-edge1-minio-1,20.13,419.2MiB,7GiB,5.85
45.197,edge1-edge1-api-1,141.81,1001MiB,9.5GiB,10.29 
45.464, ,,,,
46.016,edge1-edge1-minio-1,20.13,419.2MiB,7GiB,5.85 
46.106, ,,,,
46.197,edge1-edge1-api-1,145.18,1001MiB,9.5GiB,10.29
46.286,edge1-edge1-mysql-1,0.42,378.8MiB,3.5GiB,10.57
47.013,edge1-edge1-minio-1,17.17,419.6MiB,7GiB,5.85
47.108,edge1-edge1-api-1,145.18,1001MiB,9.5GiB,10.29 
47.199,edge1-edge1-mysql-1,0.42,378.8MiB,3.5GiB,10.57 
47.435, ,,,,
48.086, ,,,,
48.176,edge1-edge1-api-1,151.93,1001MiB,9.5GiB,10.29
48.268,edge1-edge1-mysql-1,0.43,378.8MiB,3.5GiB,10.57
48.359,edge1-edge1-minio-1,21.30,419.4MiB,7GiB,5.85
49.005,edge1-edge1-minio-1,17.53,419.3MiB,7GiB,5.85
49.128,edge1-edge1-api-1,144.01,1002MiB,9.5GiB,10.30 
49.238,edge1-edge1-mysql-1,0.41,378.8MiB,3.5GiB,10.57 
49.423, ,,,,
50.057, ,,,,
50.155,edge1-edge1-api-1,175.81,1002MiB,9.5GiB,10.30
50.256,edge1-edge1-mysql-1,0.43,378.8MiB,3.5GiB,10.57
50.347,edge1-edge1-minio-1,22.46,419.5MiB,7GiB,5.85
51.024,edge1-edge1-minio-1,22.46,419.5MiB,7GiB,5.85
51.116,edge1-edge1-api-1,175.81,1002MiB,9.5GiB,10.30 
51.208,edge1-edge1-mysql-1,0.43,378.8MiB,3.5GiB,10.57 
51.394, ,,,,
52.034, ,,,,
52.125,edge1-edge1-api-1,142.76,1004MiB,9.5GiB,10.32
52.218,edge1-edge1-mysql-1,1.38,378.8MiB,3.5GiB,10.57
52.311,edge1-edge1-minio-1,17.61,419.5MiB,7GiB,5.85
53.038,edge1-edge1-api-1,149.33,1009MiB,9.5GiB,10.37 
53.138,edge1-edge1-mysql-1,0.42,378.8MiB,3.5GiB,10.57 
53.229,edge1-edge1-minio-1,21.04,419.8MiB,7GiB,5.86 
53.324, ,,,,
54.042,edge1-edge1-api-1,145.52,1006MiB,9.5GiB,10.34
54.133,edge1-edge1-mysql-1,0.45,378.8MiB,3.5GiB,10.57
54.224,edge1-edge1-minio-1,21.45,419.6MiB,7GiB,5.85
54.597, ,,,,
55.063,edge1-edge1-mysql-1,0.45,378.8MiB,3.5GiB,10.57 
55.153,edge1-edge1-minio-1,21.45,419.6MiB,7GiB,5.85 
55.259, ,,,,
55.352,edge1-edge1-api-1,154.08,1004MiB,9.5GiB,10.32
56.080,edge1-edge1-mysql-1,0.42,378.8MiB,3.5GiB,10.57
56.170,edge1-edge1-minio-1,17.21,419.3MiB,7GiB,5.85
56.261,edge1-edge1-api-1,154.08,1004MiB,9.5GiB,10.32 
56.533, ,,,,
57.002,edge1-edge1-mysql-1,0.40,378.8MiB,3.5GiB,10.57 
57.094,edge1-edge1-minio-1,20.41,419.3MiB,7GiB,5.85 
57.188, ,,,,
57.299,edge1-edge1-api-1,154.78,1002MiB,9.5GiB,10.30
58.082,edge1-edge1-mysql-1,1.25,378.8MiB,3.5GiB,10.57
58.173,edge1-edge1-minio-1,16.82,419.7MiB,7GiB,5.85
58.266,edge1-edge1-api-1,147.02,1001MiB,9.5GiB,10.29 
58.544, ,,,,
59.009,edge1-edge1-mysql-1,1.25,378.8MiB,3.5GiB,10.57 
59.104,edge1-edge1-minio-1,16.82,419.7MiB,7GiB,5.85 
59.244, ,,,,
59.343,edge1-edge1-api-1,145.54,1002MiB,9.5GiB,10.30
